tweet_id,Date_of_tweet,source,favorite_count,retweet_count,Dog_image,Prediction_Dog_Breed,Dog_stage,hour_of_day,rating
892420643555336193,2017-08-01,Twitter for iPhone,38826,8594,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,orange,None ,16,13
892177421306343426,2017-08-01,Twitter for iPhone,33259,6316,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,None ,0,13
891815181378084864,2017-07-31,Twitter for iPhone,25056,4192,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,None ,0,12
891689557279858688,2017-07-30,Twitter for iPhone,42206,8707,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,paper_towel,None ,15,13
891327558926688256,2017-07-29,Twitter for iPhone,40353,9480,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,None ,16,12
891087950875897856,2017-07-29,Twitter for iPhone,20239,3137,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_Bay_retriever,None ,0,13
890971913173991426,2017-07-28,Twitter for iPhone,11863,2088,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,None ,16,13
890729181411237888,2017-07-28,Twitter for iPhone,65598,19056,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,None ,0,13
890609185150312448,2017-07-27,Twitter for iPhone,27786,4301,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,None ,16,13
890240255349198849,2017-07-26,Twitter for iPhone,31963,7475,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,doggo,15,14
890006608113172480,2017-07-26,Twitter for iPhone,30677,7394,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,None ,0,13
889880896479866881,2017-07-25,Twitter for iPhone,27814,5008,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_bulldog,None ,16,13
889665388333682689,2017-07-25,Twitter for iPhone,48168,10146,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,puppo,1,13
889638837579907072,2017-07-25,Twitter for iPhone,27184,4582,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French_bulldog,None ,0,12
889531135344209921,2017-07-24,Twitter for iPhone,15110,2254,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden_retriever,puppo,17,13
889278841981685760,2017-07-24,Twitter for iPhone,25323,5478,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,None ,0,13
888917238123831296,2017-07-23,Twitter for iPhone,29107,4533,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden_retriever,None ,0,12
888804989199671297,2017-07-22,Twitter for iPhone,25613,4381,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden_retriever,None ,16,13
888554962724278272,2017-07-22,Twitter for iPhone,19929,3613,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,Siberian_husky,None ,0,13
888078434458587136,2017-07-20,Twitter for iPhone,21775,3522,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,French_bulldog,None ,16,12
887705289381826560,2017-07-19,Twitter for iPhone,30221,5437,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,basset,None ,16,13
